Etoile
1.0
1.0
1.3076923076923077
4.0
1.0
5.0
2.0
1.0
5.0
5.0
1.0
2.0
1.0
1.0
2.0
1.0
2.0
2.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
3.0
1.0
5.0
1.0
1.0
3.0
4.0
3.0
1.0
1.6
1.3333333333333333
1.0
1.0
4.0
3.0
1.0
1.0
1.0
1.0
2.5
3.0
2.75
1.0
2.3333333333333335
1.0
1.0
1.0
1.0
2.0
2.25
1.8
1.0
2.0
1.5
2.0
1.0
5.0
3.0
2.0
5.0
1.0
1.0
5.0
1.0
1.0
2.0
1.0
2.5
2.7142857142857144
4.5
5.0
5.0
2.3333333333333335
1.0
2.3333333333333335
1.0
1.0
1.0
1.0
5.0
1.0
1.0
1.0
3.0
5.0
2.8
4.5
5.0
2.0
1.5
5.0
3.6666666666666665
2.0
3.5384615384615383
3.0
1.0
1.0
1.0
2.3333333333333335
1.0
1.0
1.0
1.0
5.0
5.0
5.0
5.0
3.0
1.0
3.0
3.3333333333333335
3.0
2.0
3.125
1.8
3.0
5.0
3.0
1.0
4.0
1.0
1.0
1.0
3.0
1.6
2.3333333333333335
1.3333333333333333
1.0
1.875
2.5
1.0
5.0
1.0
4.0
5.0
1.0
5.0
1.0
1.0
1.0
1.5555555555555556
1.4
1.0
4.555555555555555
1.5
1.0
1.0
5.0
1.0
4.5
4.0
1.0
2.1666666666666665
3.0
1.0
1.0
1.0
1.0
5.0
1.0
3.0
1.0
2.0
5.0
1.0
1.0
2.0
1.0
1.0
1.0
4.5
5.0
3.0
2.4285714285714284
2.2
1.0
1.0
3.5
1.0
1.0
3.0
1.0
2.3333333333333335
1.0
3.0
1.0
1.0
5.0
2.0
3.25
2.75
1.0
1.0
2.0
1.0
1.0
1.0
5.0
4.142857142857143
1.0
1.0
3.4615384615384617
1.0
1.0
5.0
1.0
2.0
1.0
1.0
3.0
3.0
2.142857142857143
1.0
1.0
1.0
1.0
1.6666666666666667
1.0
1.0
1.0
1.0
1.0
3.6
3.0
5.0
2.0
1.0
2.0
1.0
1.0
3.0
2.3333333333333335
3.0
5.0
5.0
1.0
1.6666666666666667
1.0
1.0
1.0
4.0
3.5
1.0
1.0
1.0
5.0
1.0
5.0
1.0
5.0
1.0
1.0
1.0
1.0
1.0
1.0
3.0
1.0
5.0
3.6666666666666665
5.0
1.0
5.0
4.0
2.0
1.0
1.0
1.5
1.0
1.8
3.0
3.25
2.8421052631578947
3.3333333333333335
2.0
2.3333333333333335
1.0
1.0
1.0
3.0
5.0
2.3333333333333335
1.0
3.0
3.6666666666666665
5.0
2.0
1.5
1.0
1.0
5.0
5.0
1.0
3.0
1.0
2.0
2.0
1.8
1.0
2.25
1.6666666666666667
1.0
1.0
1.0
1.0
3.6666666666666665
4.0
1.0
5.0
1.0
1.0
5.0
2.5
5.0
2.0
1.0
3.3333333333333335
1.0
3.8
4.2
2.75
1.0
1.0
5.0
1.8333333333333333
3.0
1.0
1.0
5.0
3.0
3.0
5.0
3.0
1.0
1.0
1.0
5.0
1.0
2.6666666666666665
1.0
5.0
1.0
5.0
3.0
2.0
3.0
4.0
1.0
5.0
1.0
1.0
1.0
1.0
1.0
5.0
5.0
1.0
1.0
5.0
1.0
1.0
1.0
3.0
3.0
3.4615384615384617
3.4
4.0
5.0
5.0
3.0
1.0
1.0
1.0
1.5
4.5
5.0
5.0
3.0
1.8
3.5
1.0
1.0
1.0
2.0
1.8571428571428572
5.0
1.0
5.0
1.0
2.3333333333333335
1.0
3.0
2.75
2.9166666666666665
2.0
5.0
1.0
1.0
5.0
1.0
1.0
1.0
5.0
2.5
1.0
2.3333333333333335
3.0
5.0
2.0
1.0
1.0
1.0
3.0
2.0
3.6666666666666665
5.0
1.0
1.0
1.0
2.5
1.6
2.0
1.0
2.0
1.0
1.0
5.0
1.0
2.3333333333333335
5.0
1.0
3.0
5.0
5.0
3.4285714285714284
3.5
2.0
5.0
5.0
